geography,indicator,hypothesis,phase,article value,P5,P50,P95,P5 vs article (%),P95 vs article (%)
Denmark,Net operating surplus (M EUR),B1,Phase 1,11.686550919203524,7.494720086483405,11.587058214179066,18.770778112906452,-35.86884498001919,60.618631131465946
Denmark,Net operating surplus (M EUR),B1,Phase 2,19.943825885893823,12.010161980338562,19.781543892841267,33.40573128739653,-39.78004998111573,67.49911214890945
Denmark,Net operating surplus (M EUR),B1,Phase 3,63.55705127282533,37.78858032069301,63.051465083168445,107.33004736123054,-40.54384279333295,68.87197441005407
Denmark,Net operating surplus (M EUR),B1,All phases,95.18742807792268,57.307286030427136,94.43150403611507,159.48904644653328,-39.795320466570395,67.55263764031085
Denmark,Net operating surplus (M EUR),B2,Phase 1,24.367907033649825,18.73711875295297,25.546869276550876,34.90760461495977,-23.107393970771707,43.25237110743898
Denmark,Net operating surplus (M EUR),B2,Phase 2,30.408523985391746,22.263335933443106,30.85733770284765,48.70636975090905,-26.78587114541169,60.17340984490922
Denmark,Net operating surplus (M EUR),B2,Phase 3,87.5282102890058,60.209877315389704,87.37668058261292,143.80246845284938,-31.21088947599273,64.29270971956804
Denmark,Net operating surplus (M EUR),B2,All phases,142.30464130804737,101.21251276401007,142.10550166433217,227.36415176341524,-28.87616887708182,59.77282938455903
Denmark,Net operating surplus (M EUR),B3,Phase 1,22.964439807545833,16.89496149433891,21.63452202741203,30.724810199185892,-26.429899288083504,33.792988013973215
Denmark,Net operating surplus (M EUR),B3,Phase 2,37.81762973702813,27.55255934005229,35.915486153819636,54.54416906264783,-27.14361124257628,44.22947562269446
Denmark,Net operating surplus (M EUR),B3,Phase 3,94.55135604351938,65.39920107901077,92.06934684413562,143.88785388990496,-30.832085529361073,52.17957722750941
Denmark,Net operating surplus (M EUR),B3,All phases,155.33342558809335,110.04420488189191,149.16602155737746,229.1839639919996,-29.156133352970325,47.54323683026216
World,Taxes and subsidies on production (M EUR),A1,Phase 1,53.74559119891924,45.09949397961547,49.96160715302453,54.566008505061745,-16.087081798586,1.5264829874250152
World,Taxes and subsidies on production (M EUR),A1,Phase 2,104.22848219039416,94.06711225344708,100.29320452281607,105.60401553401776,-9.749129722895999,1.3197288444735333
World,Taxes and subsidies on production (M EUR),A1,Phase 3,312.0501411945121,280.2822916876357,297.38132391198883,314.90095015029425,-10.180366970920351,0.9135739996365411
World,Taxes and subsidies on production (M EUR),A1,All phases,470.0242145838255,420.3793895301943,449.5477214152133,473.72542146035215,-10.562184566935196,0.7874502550477835
World,Taxes and subsidies on production (M EUR),A2,Phase 1,53.75607701922097,45.11917825173798,49.98901289914549,54.58304945951443,-16.06683234045295,1.5383794468442513
World,Taxes and subsidies on production (M EUR),A2,Phase 2,80.07254074223721,74.49291632471704,77.89521297894063,81.4480740858608,-6.968212030990273,1.7178589949475853
World,Taxes and subsidies on production (M EUR),A2,Phase 3,312.0501411945121,280.2822916876357,297.38132391198883,314.90095015029425,-10.180366970920351,0.9135739996365411
World,Taxes and subsidies on production (M EUR),A2,All phases,445.8787589559703,400.8295532566117,426.4940861329683,449.58841123120743,-10.10346530183267,0.8319867678656223
World,Taxes and subsidies on production (M EUR),A3,Phase 1,53.75607701922097,45.11917825173798,49.98901289914549,54.58304945951443,-16.06683234045295,1.5383794468442513
World,Taxes and subsidies on production (M EUR),A3,Phase 2,88.12452122495621,81.0348893795631,85.4312581339379,89.5000545685798,-8.04501601466333,1.5608973807781146
World,Taxes and subsidies on production (M EUR),A3,Phase 3,312.0501411945121,280.2822916876357,297.38132391198883,314.90095015029425,-10.180366970920351,0.9135739996365411
World,Taxes and subsidies on production (M EUR),A3,All phases,453.9307394386893,407.3551942452986,434.15578568865686,457.6403917139265,-10.260495962662485,0.8172286987711885
World,Taxes and subsidies on production (M EUR),B1,Phase 1,56.10942228629346,52.20677722280283,53.99414170886642,57.068319987707795,-6.955418367306876,1.7089780331753346
World,Taxes and subsidies on production (M EUR),B1,Phase 2,92.48766473291917,85.15719722180678,88.04501185571219,93.93099638162245,-7.925886692329098,1.5605666473158974
World,Taxes and subsidies on production (M EUR),B1,Phase 3,286.758394614554,262.8642308935438,271.7082843258073,291.0228738828726,-8.332507145301715,1.4871331924042552
World,Taxes and subsidies on production (M EUR),B1,All phases,435.35548163376666,400.32576844822717,413.7421818484,441.91270666106476,-8.04623225463541,1.5061772055081635
World,Taxes and subsidies on production (M EUR),B2,Phase 1,67.11824874675463,59.29694453403258,63.47013059743763,67.6162292567376,-11.653021881176883,0.7419450287833085
World,Taxes and subsidies on production (M EUR),B2,Phase 2,100.53692201878415,91.90461368238945,96.29915911248241,101.76789248706046,-8.586207099896948,1.2243964143305641
World,Taxes and subsidies on production (M EUR),B2,Phase 3,306.2675342526582,276.80571724087685,290.94992580318154,308.8036573351408,-9.619634377399134,0.8280744116973215
World,Taxes and subsidies on production (M EUR),B2,All phases,473.922705018197,428.28276793721926,452.2146911569025,477.7647416900254,-9.630249109762602,0.8106884585073582
World,Taxes and subsidies on production (M EUR),B3,Phase 1,66.04606918103934,59.654937311642044,63.457110602621256,66.90714401709216,-9.676778570846544,1.3037488025101407
World,Taxes and subsidies on production (M EUR),B3,Phase 2,103.05202544139668,93.2604434959761,99.26239514515062,104.55826424248964,-9.501590971629003,1.4616294969859833
World,Taxes and subsidies on production (M EUR),B3,Phase 3,302.3555963156408,276.61221762894627,288.4871978591799,306.76883725153607,-8.514272267618296,1.4596193983749117
World,Taxes and subsidies on production (M EUR),B3,All phases,471.4536909380768,429.5372187562051,451.9709145339424,478.0381788586698,-8.890899146100272,1.3966351408749134
Denmark,Taxes and subsidies on production (M EUR),A1,Phase 1,21.63933014477793,19.837044264066815,20.980593627276765,22.140867372610764,-8.32875079151213,2.317711428576108
Denmark,Taxes and subsidies on production (M EUR),A1,Phase 2,59.87379443301465,55.67053732947155,58.134054349352446,60.6411504483006,-7.020194967341853,1.2816224903608564
Denmark,Taxes and subsidies on production (M EUR),A1,Phase 3,158.14120758651563,144.18044565329612,150.48235738782398,159.376560659961,-8.828035492002861,0.7811708866390932
Denmark,Taxes and subsidies on production (M EUR),A1,All phases,239.65433216430822,220.11727672699251,231.1008333774616,241.75733308846847,-8.152181210695165,0.8775142536202596
Denmark,Taxes and subsidies on production (M EUR),A2,Phase 1,21.64447180653205,19.84371341876205,20.98825708399695,22.147556418898322,-8.319715093378033,2.3243099525045885
Denmark,Taxes and subsidies on production (M EUR),A2,Phase 2,41.02701406517605,39.17903087868385,40.53802506073701,41.79437008046199,-4.504308267612334,1.870367690095387
Denmark,Taxes and subsidies on production (M EUR),A2,Phase 3,158.14120758651563,144.18044565329612,150.48235738782398,159.376560659961,-8.828035492002861,0.7811708866390932
Denmark,Taxes and subsidies on production (M EUR),A2,All phases,220.81269345822375,203.63223207561356,214.15885715375265,222.91939016927032,-7.7805587684027895,0.9540650394924688
Denmark,Taxes and subsidies on production (M EUR),A3,Phase 1,21.64447180653205,19.84371341876205,20.98825708399695,22.147556418898322,-8.319715093378033,2.3243099525045885
Denmark,Taxes and subsidies on production (M EUR),A3,Phase 2,47.30927418778891,44.67637507816947,46.752967322480146,48.076630203074856,-5.5652916998228275,1.6219991290502778
Denmark,Taxes and subsidies on production (M EUR),A3,Phase 3,158.14120758651563,144.18044565329612,150.48235738782398,159.376560659961,-8.828035492002861,0.7811708866390932
Denmark,Taxes and subsidies on production (M EUR),A3,All phases,227.0949535808366,209.12931320126458,219.8085585850639,229.20165029188317,-7.911069839417184,0.9276721819785783
